Date,Open,High,Low,Close,Adj Close,Volume
2024-04-24,"1,490.00","1,496.95","1,476.30","1,479.25","1,429.48","1,321,471"
2024-04-23,"1,474.90","1,501.45","1,471.10","1,486.65","1,436.63","2,783,858"
2024-04-22,"1,452.20","1,473.30","1,450.50","1,465.90","1,416.58","1,939,632"
2024-04-19,"1,442.00","1,455.50","1,435.00","1,447.50","1,398.80","5,219,506"
2024-04-18,"1,477.05","1,480.90","1,452.10","1,466.85","1,417.50","5,180,223"
2024-04-16,"1,486.35","1,501.60","1,467.30","1,477.30","1,427.60","2,446,933"
2024-04-15,"1,507.10","1,530.50","1,494.00","1,505.05","1,454.42","3,295,684"
2024-04-12,"1,537.00","1,542.95","1,516.20","1,521.50","1,470.31","4,319,991"
2024-04-10,"1,541.05","1,552.15","1,536.20","1,539.15","1,487.37","1,829,986"
2024-04-09,"1,540.00","1,561.80","1,534.55","1,540.50","1,488.67","2,432,095"
2024-04-08,"1,554.00","1,554.00","1,537.65","1,540.05","1,488.24","1,820,136"
2024-04-05,"1,542.45","1,547.70","1,523.80","1,545.25","1,493.26","2,773,570"
2024-04-04,"1,540.80","1,552.50","1,518.70","1,539.65","1,487.85","3,388,449"
2024-04-03,"1,525.35","1,558.45","1,518.00","1,535.85","1,484.18","3,343,884"
2024-04-02,"1,559.00","1,565.00","1,525.10","1,528.30","1,476.88","2,031,775"
2024-04-01,"1,549.00","1,569.00","1,548.00","1,556.70","1,504.33","1,014,857"
2024-03-28,"1,549.00","1,561.05","1,531.00","1,543.55","1,491.62","5,301,493"
2024-03-27,"1,569.00","1,576.85","1,540.00","1,546.20","1,494.18","2,589,697"
2024-03-26,"1,562.25","1,592.55","1,555.55","1,562.25","1,509.69","4,496,344"
2024-03-22,"1,560.00","1,571.45","1,508.20","1,557.85","1,505.44","7,468,824"
2024-03-21,"1,608.00","1,619.95","1,583.35","1,595.80","1,542.11","2,684,744"
2024-03-20,"1,604.75","1,619.10","1,578.10","1,587.10","1,533.71","1,815,178"
2024-03-19,"1,641.55","1,641.55","1,594.10","1,599.15","1,545.35","1,915,379"
2024-03-18,"1,649.90","1,663.30","1,634.25","1,643.40","1,588.11","1,183,544"
2024-03-15,"1,677.00","1,677.00","1,642.85","1,647.30","1,591.88","3,931,561"
2024-03-14,"1,634.00","1,683.00","1,610.00","1,679.25","1,622.76","3,513,306"
2024-03-13,"1,638.75","1,651.25","1,610.35","1,631.50","1,576.61","2,564,135"
2024-03-12,"1,635.90","1,665.00","1,633.05","1,635.60","1,580.57","2,414,182"
2024-03-11,"1,655.00","1,659.80","1,632.05","1,638.65","1,583.52","2,970,902"
2024-03-07,"1,650.00","1,654.55","1,630.10","1,637.65","1,582.55","3,181,239"
2024-03-06,"1,613.00","1,650.00","1,603.85","1,644.20","1,588.88","2,366,177"
2024-03-05,"1,624.00","1,629.95","1,607.05","1,619.35","1,564.87","3,339,546"
2024-03-04,"1,649.00","1,654.00","1,635.00","1,637.95","1,582.84","1,788,071"
2024-03-01,"1,675.45","1,679.20","1,639.10","1,644.10","1,588.79","2,371,138"
2024-02-29,"1,642.15","1,677.75","1,636.65","1,663.85","1,607.87","3,532,888"
2024-02-28,"1,664.70","1,672.00","1,644.20","1,651.90","1,596.33","936,575"
2024-02-27,"1,649.00","1,673.40","1,648.00","1,658.80","1,602.99","2,049,420"
2024-02-26,"1,665.75","1,668.85","1,639.50","1,649.80","1,594.30","1,844,253"
2024-02-23,"1,697.00","1,697.35","1,663.45","1,665.75","1,609.71","2,191,549"
2024-02-22,"1,644.00","1,691.40","1,639.00","1,686.40","1,629.66","3,820,901"
2024-02-21,"1,655.55","1,664.80","1,632.05","1,636.30","1,581.25","2,890,991"
2024-02-20,"1,661.00","1,672.75","1,645.00","1,663.05","1,607.10","2,240,414"
2024-02-19,"1,670.00","1,682.95","1,659.65","1,675.25","1,618.89","762,624"
2024-02-16,"1,675.00","1,677.00","1,650.05","1,667.45","1,611.35","1,776,881"
2024-02-15,"1,678.00","1,696.50","1,650.10","1,662.55","1,606.62","2,555,162"
2024-02-14,"1,649.75","1,676.90","1,625.45","1,671.50","1,615.27","1,386,643"
2024-02-13,"1,675.00","1,675.00","1,648.60","1,665.60","1,609.56","3,129,897"
2024-02-12,"1,639.00","1,685.00","1,639.00","1,666.95","1,610.87","4,885,445"
2024-02-09,"1,640.00","1,646.75","1,614.65","1,630.60","1,575.74","3,341,297"
2024-02-08,"1,626.00","1,647.70","1,617.30","1,633.80","1,578.83","3,496,692"
2024-02-07,"1,628.00","1,629.90","1,598.95","1,615.35","1,561.01","3,320,199"
2024-02-06,"1,566.00","1,627.00","1,558.05","1,623.75","1,569.12","4,988,311"
2024-02-05,"1,584.95","1,588.50","1,551.45","1,555.35","1,503.02","1,452,864"
2024-02-02,"1,584.80","1,613.90","1,575.00","1,583.75","1,530.47","2,337,374"
2024-02-01,"1,576.00","1,597.00","1,566.35","1,577.40","1,524.33","2,845,408"
